run_dir,method,method_display_name,num_qubits,h,j,ansatz,reps,entanglement,iterations,learning_rate,shots,seed,final_energy,best_energy,final_absolute_error,best_absolute_error,final_relative_error,best_relative_error,best_step,exact_ground_energy,nominal_total_quantum_evals,elapsed_s,git_commit,started_utc,finished_utc
results/revision/revision_fd_natural_20260601_cluster/revision_fd_natural_20260601_cluster__method-qnspsa_fd__ansatz-RealAmplitudes__n-10__h-2p0__seed-3,qnspsa_fd,QN-SPSA+FD,10,2.0,1.0,RealAmplitudes,2,reverse_linear,500,0.01,,3,-21.120811600233058,-21.120811600233058,0.15039721846284593,0.15039721846284593,0.007070459405704169,0.007070459405704169,500,-21.271208818695904,32000,193.1828453540802,ff8977fd9f29a19d18903c3ce52d1a010a064d6b,2026-06-01T00:13:11.548089+00:00,2026-06-01T00:16:24.730982+00:00
results/revision/revision_fd_natural_20260601_cluster/revision_fd_natural_20260601_cluster__method-qnspsa_fd__ansatz-RealAmplitudes__n-10__h-2p0__seed-4,qnspsa_fd,QN-SPSA+FD,10,2.0,1.0,RealAmplitudes,2,reverse_linear,500,0.01,,4,-21.13824829523926,-21.13824829523926,0.13296052345664222,0.13296052345664222,0.006250727196085782,0.006250727196085782,500,-21.271208818695904,32000,194.05712246894836,ff8977fd9f29a19d18903c3ce52d1a010a064d6b,2026-06-01T00:13:21.290524+00:00,2026-06-01T00:16:35.347697+00:00
results/revision/revision_fd_natural_20260601_cluster/revision_fd_natural_20260601_cluster__method-qnspsa_fd__ansatz-RealAmplitudes__n-10__h-2p0__seed-5,qnspsa_fd,QN-SPSA+FD,10,2.0,1.0,RealAmplitudes,2,reverse_linear,500,0.01,,5,-21.132855332198005,-21.132855332198005,0.13835348649789836,0.13835348649789836,0.006504260650024522,0.006504260650024522,500,-21.271208818695904,32000,213.1183545589447,ff8977fd9f29a19d18903c3ce52d1a010a064d6b,2026-06-01T00:13:28.461836+00:00,2026-06-01T00:17:01.580263+00:00
results/revision/revision_fd_natural_20260601_cluster/revision_fd_natural_20260601_cluster__method-qnspsa_fd__ansatz-RealAmplitudes__n-10__h-2p0__seed-6,qnspsa_fd,QN-SPSA+FD,10,2.0,1.0,RealAmplitudes,2,reverse_linear,500,0.01,,6,-21.12759384408069,-21.12759384408069,0.14361497461521466,0.14361497461521466,0.006751613217627159,0.006751613217627159,500,-21.271208818695904,32000,189.78782057762146,ff8977fd9f29a19d18903c3ce52d1a010a064d6b,2026-06-01T00:13:57.780371+00:00,2026-06-01T00:17:07.568247+00:00
results/revision/revision_fd_natural_20260601_cluster/revision_fd_natural_20260601_cluster__method-qnspsa_fd__ansatz-RealAmplitudes__n-11__h-2p0__seed-0,qnspsa_fd,QN-SPSA+FD,11,2.0,1.0,RealAmplitudes,2,reverse_linear,500,0.01,,0,-23.235603334033975,-23.235603334033975,0.1625257312894206,0.1625257312894206,0.006946099443920401,0.006946099443920401,500,-23.398129065323396,35000,275.9247124195099,ff8977fd9f29a19d18903c3ce52d1a010a064d6b,2026-06-01T00:13:59.323157+00:00,2026-06-01T00:18:35.248060+00:00
results/revision/revision_fd_natural_20260601_cluster/revision_fd_natural_20260601_cluster__method-qnspsa_fd__ansatz-RealAmplitudes__n-11__h-2p0__seed-1,qnspsa_fd,QN-SPSA+FD,11,2.0,1.0,RealAmplitudes,2,reverse_linear,500,0.01,,1,-22.11836253401656,-22.11836253401656,1.2797665313068372,1.2797665313068372,0.054695250536226966,0.054695250536226966,500,-23.398129065323396,35000,313.9905252456665,ff8977fd9f29a19d18903c3ce52d1a010a064d6b,2026-06-01T00:14:16.088117+00:00,2026-06-01T00:19:30.079137+00:00
results/revision/revision_fd_natural_20260601_cluster/revision_fd_natural_20260601_cluster__method-qnspsa_fd__ansatz-RealAmplitudes__n-11__h-2p0__seed-2,qnspsa_fd,QN-SPSA+FD,11,2.0,1.0,RealAmplitudes,2,reverse_linear,500,0.01,,2,-23.265090089206332,-23.265090089206332,0.1330389761170636,0.1330389761170636,0.0056858809414052965,0.0056858809414052965,500,-23.398129065323396,35000,301.008348941803,ff8977fd9f29a19d18903c3ce52d1a010a064d6b,2026-06-01T00:14:18.633082+00:00,2026-06-01T00:19:19.641645+00:00
results/revision/revision_fd_natural_20260601_cluster/revision_fd_natural_20260601_cluster__method-qnspsa_fd__ansatz-RealAmplitudes__n-11__h-2p0__seed-3,qnspsa_fd,QN-SPSA+FD,11,2.0,1.0,RealAmplitudes,2,reverse_linear,500,0.01,,3,-23.237446730939872,-23.237446730939872,0.16068233438352308,0.16068233438352308,0.006867315499240419,0.006867315499240419,500,-23.398129065323396,35000,281.27423095703125,ff8977fd9f29a19d18903c3ce52d1a010a064d6b,2026-06-01T00:15:24.322782+00:00,2026-06-01T00:20:05.597213+00:00
results/revision/revision_fd_natural_20260601_cluster/revision_fd_natural_20260601_cluster__method-qnspsa_fd__ansatz-RealAmplitudes__n-11__h-2p0__seed-4,qnspsa_fd,QN-SPSA+FD,11,2.0,1.0,RealAmplitudes,2,reverse_linear,500,0.01,,4,-23.261314491647283,-23.261314491647283,0.13681457367611216,0.13681457367611216,0.005847244166153213,0.005847244166153213,500,-23.398129065323396,35000,284.5877707004547,ff8977fd9f29a19d18903c3ce52d1a010a064d6b,2026-06-01T00:15:32.884103+00:00,2026-06-01T00:20:17.472115+00:00
results/revision/revision_fd_natural_20260601_cluster/revision_fd_natural_20260601_cluster__method-qnspsa_fd__ansatz-RealAmplitudes__n-11__h-2p0__seed-5,qnspsa_fd,QN-SPSA+FD,11,2.0,1.0,RealAmplitudes,2,reverse_linear,500,0.01,,5,-23.20360966906766,-23.20360966906766,0.19451939625573544,0.19451939625573544,0.008313459410052489,0.008313459410052489,500,-23.398129065323396,35000,300.8111984729767,ff8977fd9f29a19d18903c3ce52d1a010a064d6b,2026-06-01T00:15:46.150088+00:00,2026-06-01T00:20:46.961526+00:00
results/revision/revision_fd_natural_20260601_cluster/revision_fd_natural_20260601_cluster__method-qnspsa_fd__ansatz-RealAmplitudes__n-11__h-2p0__seed-6,qnspsa_fd,QN-SPSA+FD,11,2.0,1.0,RealAmplitudes,2,reverse_linear,500,0.01,,6,-22.83477878876478,-22.83477878876478,0.5633502765586158,0.5633502765586158,0.02407672318525308,0.02407672318525308,500,-23.398129065323396,35000,281.31139874458313,ff8977fd9f29a19d18903c3ce52d1a010a064d6b,2026-06-01T00:16:29.995412+00:00,2026-06-01T00:21:11.307063+00:00
results/revision/revision_fd_natural_20260601_cluster/revision_fd_natural_20260601_cluster__method-qnspsa_fd__ansatz-RealAmplitudes__n-12__h-2p0__seed-0,qnspsa_fd,QN-SPSA+FD,12,2.0,1.0,RealAmplitudes,2,reverse_linear,500,0.01,,0,-25.370707485933085,-25.370707485933085,0.15443081611493525,0.15443081611493525,0.006050146106457901,0.006050146106457901,500,-25.52513830204802,38000,451.89028763771057,ff8977fd9f29a19d18903c3ce52d1a010a064d6b,2026-06-01T00:16:51.346340+00:00,2026-06-01T00:24:23.236857+00:00
results/revision/revision_fd_natural_20260601_cluster/revision_fd_natural_20260601_cluster__method-qnspsa_fd__ansatz-RealAmplitudes__n-12__h-2p0__seed-1,qnspsa_fd,QN-SPSA+FD,12,2.0,1.0,RealAmplitudes,2,reverse_linear,500,0.01,,1,-25.387528304969322,-25.387528304969322,0.13760999707869814,0.13760999707869814,0.00539115578729918,0.00539115578729918,500,-25.52513830204802,38000,400.97104024887085,ff8977fd9f29a19d18903c3ce52d1a010a064d6b,2026-06-01T00:17:29.484158+00:00,2026-06-01T00:24:10.455481+00:00
results/revision/revision_fd_natural_20260601_cluster/revision_fd_natural_20260601_cluster__method-qnspsa_fd__ansatz-RealAmplitudes__n-12__h-2p0__seed-2,qnspsa_fd,QN-SPSA+FD,12,2.0,1.0,RealAmplitudes,2,reverse_linear,500,0.01,,2,-25.376772622623662,-25.376772622623662,0.14836567942435863,0.14836567942435863,0.005812531852665983,0.005812531852665983,500,-25.52513830204802,38000,439.851261138916,ff8977fd9f29a19d18903c3ce52d1a010a064d6b,2026-06-01T00:17:31.686328+00:00,2026-06-01T00:24:51.537868+00:00
results/revision/revision_fd_natural_20260601_cluster/revision_fd_natural_20260601_cluster__method-qnspsa_fd__ansatz-RealAmplitudes__n-12__h-2p0__seed-3,qnspsa_fd,QN-SPSA+FD,12,2.0,1.0,RealAmplitudes,2,reverse_linear,500,0.01,,3,-25.380630053722165,-25.380630053722165,0.14450824832585596,0.14450824832585596,0.0056614090241486085,0.0056614090241486085,500,-25.52513830204802,38000,430.73750591278076,ff8977fd9f29a19d18903c3ce52d1a010a064d6b,2026-06-01T00:18:51.976458+00:00,2026-06-01T00:26:02.714256+00:00
results/revision/revision_fd_natural_20260601_cluster/revision_fd_natural_20260601_cluster__method-qnspsa_fd__ansatz-RealAmplitudes__n-12__h-2p0__seed-4,qnspsa_fd,QN-SPSA+FD,12,2.0,1.0,RealAmplitudes,2,reverse_linear,500,0.01,,4,-25.37756723231214,-25.37756723231214,0.14757106973588208,0.14757106973588208,0.0057814013773254125,0.0057814013773254125,500,-25.52513830204802,38000,402.06772446632385,ff8977fd9f29a19d18903c3ce52d1a010a064d6b,2026-06-01T00:19:35.702295+00:00,2026-06-01T00:26:17.770237+00:00
results/revision/revision_fd_natural_20260601_cluster/revision_fd_natural_20260601_cluster__method-qnspsa_fd__ansatz-RealAmplitudes__n-12__h-2p0__seed-5,qnspsa_fd,QN-SPSA+FD,12,2.0,1.0,RealAmplitudes,2,reverse_linear,500,0.01,,5,-25.38093622662713,-25.38093622662713,0.14420207542088903,0.14420207542088903,0.005649414068378189,0.005649414068378189,500,-25.52513830204802,38000,393.51179480552673,ff8977fd9f29a19d18903c3ce52d1a010a064d6b,2026-06-01T00:19:50.296075+00:00,2026-06-01T00:26:23.808170+00:00
results/revision/revision_fd_natural_20260601_cluster/revision_fd_natural_20260601_cluster__method-qnspsa_fd__ansatz-RealAmplitudes__n-12__h-2p0__seed-6,qnspsa_fd,QN-SPSA+FD,12,2.0,1.0,RealAmplitudes,2,reverse_linear,500,0.01,,6,-25.210130714624263,-25.210130714624263,0.31500758742375723,0.31500758742375723,0.012341072698457523,0.012341072698457523,500,-25.52513830204802,38000,371.3484435081482,ff8977fd9f29a19d18903c3ce52d1a010a064d6b,2026-06-01T00:20:22.634694+00:00,2026-06-01T00:26:33.983366+00:00
results/revision/revision_fd_natural_20260601_cluster/revision_fd_natural_20260601_cluster__method-qnspsa_fd__ansatz-RealAmplitudes__n-6__h-2p0__seed-0,qnspsa_fd,QN-SPSA+FD,6,2.0,1.0,RealAmplitudes,2,reverse_linear,500,0.01,,0,-12.60667314882732,-12.60667314882732,0.16271597838001028,0.16271597838001028,0.012742659555523807,0.012742659555523807,500,-12.76938912720733,20000,91.61531138420105,ff8977fd9f29a19d18903c3ce52d1a010a064d6b,2026-06-01T00:06:01.625014+00:00,2026-06-01T00:07:33.240377+00:00
results/revision/revision_fd_natural_20260601_cluster/revision_fd_natural_20260601_cluster__method-qnspsa_fd__ansatz-RealAmplitudes__n-6__h-2p0__seed-1,qnspsa_fd,QN-SPSA+FD,6,2.0,1.0,RealAmplitudes,2,reverse_linear,500,0.01,,1,-12.63067828710335,-12.63067828710335,0.13871084010397894,0.13871084010397894,0.010862762401721487,0.010862762401721487,500,-12.76938912720733,20000,95.67978978157043,ff8977fd9f29a19d18903c3ce52d1a010a064d6b,2026-06-01T00:06:01.560196+00:00,2026-06-01T00:07:37.240035+00:00
