Parameters 
 
[-0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5] 
[-0.4886381080120205, -0.481082146309034, -0.4812626559906271, -0.48465734078989836, -0.47757660660716267, -0.5010132225713769, -0.4422724141086561, -0.45361160633758857, -0.4654329567663221, -0.45519566432652253, -0.4674568825289132, -0.4485757867268917, -0.47892171880647455, -0.4334063131807604] 
[-0.47482885551388787, -0.4612163443829848, -0.4616561822759325, -0.4681558446542982, -0.4538276650388592, -0.49871793857831914, -0.38470993860438385, -0.40616526497963434, -0.43191978901929995, -0.4108850195277277, -0.4350130083548094, -0.3980112266589532, -0.45863445218392995, -0.366162814848788] 
[-0.4587916548830129, -0.4406019022957418, -0.4413764699326983, -0.4506087744993093, -0.4293139053917603, -0.4930189011045704, -0.32853561801405906, -0.3583790140768828, -0.3990649722241114, -0.3675548908059844, -0.40232844844193216, -0.3490802639316834, -0.438192542229376, -0.2999048719999763] 
[-0.4408562060092348, -0.4194503164822449, -0.4206213600215189, -0.4321557964818367, -0.4045833284785134, -0.4839773139159377, -0.2748873979631926, -0.310957112338063, -0.3665109732795764, -0.32560093205117346, -0.3691487805194896, -0.3024468257903925, -0.41662447282778026, -0.23628057334427022] 
[-0.4214236109346459, -0.39797474006360223, -0.39958143588539935, -0.4129547861863512, -0.3801168932561717, -0.47179747644022935, -0.22469413139055372, -0.26451816585942134, -0.33399620155646503, -0.28528562343173036, -0.335362221078167, -0.25856503218517285, -0.3931206618856738, -0.1767231571322064] 
[-0.4009197134921721, -0.3763807916377099, -0.3784339535410846, -0.3931741581955874, -0.3562923568310841, -0.4567949970446495, -0.17859258327473276, -0.21954780840628274, -0.3013825633911338, -0.2467298749271521, -0.3010151859250192, -0.2176349064611367, -0.3671747241446458, -0.12226908739041718] 
[-0.3797530681145005, -0.3548595575042674, -0.35733998474294726, -0.37298703389116433, -0.3333720028907219, -0.4393569360926246, -0.13690336346229656, -0.17638359264100212, -0.26865065981627073, -0.20993568573523771, -0.2662862523916591, -0.1796219004244765, -0.3386350362208897, -0.07347663476759411] 
[-0.358286095099272, -0.3335828405264656, -0.3364437500646886, -0.3525671040816885, -0.31151113006305015, -0.4199042924602571, -0.09966153298450293, -0.13522701845792076, -0.23587291545703742, -0.1748257987517456, -0.2314354706518709, -0.14432098170009855, -0.3076675385272112, -0.030452138025807707] 
[-0.3368214430638247, -0.31270027149994173, -0.3158728587928082, -0.3320851996834905, -0.2907788092450302, -0.3988628796581501, -0.06668164151940481, -0.0961706710567848, -0.20317903379352076, -0.14128433593882583, -0.19675060737091798, -0.1114344709805019, -0.2746646744815061, 0.007050518158348756] 
